Parameter	Posterior Mean	Posterior Variance	a_post	b_post
GCF_029625375_prokka	0.000925466	4.78502e-10	1789.93	1.93409e+06
GCF_030014065_prokka	5.19751e-07	2.63549e-13	1.02501	1.97212e+06
GCF_030014085_prokka	1.0072e-06	5.10721e-13	1.98632	1.97212e+06
GCF_030408955_prokka	3.87251e-05	1.96472e-11	76.3283	1.97103e+06
GCF_030533515_prokka	9.84578e-05	4.99668e-11	194.008	1.97046e+06
GCF_030533585_prokka	3.09968e-05	1.57257e-11	61.0974	1.97109e+06
GCF_030533895_prokka	5.90307e-05	2.9948e-11	116.356	1.97111e+06
GCF_030533995_prokka	5.62313e-05	2.85182e-11	110.875	1.97177e+06
GCF_030534075_prokka	2.55017e-05	1.29319e-11	50.2894	1.972e+06
GCF_030534155_prokka	0.000346145	1.77043e-10	676.765	1.95515e+06
GCF_030534215_prokka	2.31576e-05	1.17462e-11	45.6552	1.9715e+06
GCF_900004855_prokka	0.00765762	4.13591e-09	14178.1	1.8515e+06
GCF_900323925_prokka	1.01791e-06	5.16097e-13	2.00766	1.97233e+06
GCF_900323955_prokka	1.00722e-06	5.10676e-13	1.98657	1.97233e+06
GCF_900323965_prokka	1.00747e-06	5.10924e-13	1.98659	1.97186e+06
GCF_900324325_prokka	2.90091e-05	1.47156e-11	57.1862	1.97132e+06
GCF_900607245_prokka	1.30146e-05	6.59953e-12	25.6653	1.97204e+06
GCF_900607275_prokka	3.05575e-05	1.55016e-11	60.2365	1.97125e+06
GCF_900607295_prokka	2.40225e-05	1.21894e-11	47.3431	1.97078e+06
GCF_900620235_prokka	8.62374e-05	4.37389e-11	170.029	1.97164e+06
NODE_101	5.07104e-07	2.57152e-13	1.00001	1.972e+06
NODE_102	8.17977e-05	4.14956e-11	161.243	1.97124e+06
NODE_103	0.000838924	4.30882e-10	1633.38	1.94699e+06
NODE_104	0.00425583	2.28155e-09	7938.5	1.86532e+06
NODE_105	6.04292e-06	3.06455e-12	11.9159	1.97188e+06
NODE_106	2.69973e-05	1.36878e-11	53.2486	1.97237e+06
NODE_107	2.6501e-05	1.34396e-11	52.2563	1.97186e+06
NODE_108	1.05031e-05	5.3253e-12	20.7154	1.97231e+06
NODE_109	1.26718e-05	6.42663e-12	24.9857	1.97176e+06
NODE_110	1.3803e-06	6.99927e-13	2.72206	1.97207e+06
NODE_111	0.00362171	1.88912e-09	6943.32	1.91714e+06
NODE_112	0.000106009	5.37829e-11	208.952	1.97106e+06
NODE_113	0.000101	5.12431e-11	199.071	1.971e+06
NODE_114	2.50597e-06	1.271e-12	4.94092	1.97166e+06
NODE_115	2.07783e-06	1.05394e-12	4.09641	1.97149e+06
NODE_116	1.03128e-06	5.22993e-13	2.03357	1.97189e+06
NODE_117	0.00015056	7.6599e-11	295.935	1.96556e+06
NODE_118	0.00341973	1.77595e-09	6584.98	1.92558e+06
NODE_119	5.07369e-07	2.57412e-13	1.00004	1.97104e+06
NODE_120	5.07309e-07	2.57335e-13	1.00011	1.97139e+06
NODE_121	2.00805e-06	1.01816e-12	3.96034	1.97224e+06
NODE_122	5.7498e-05	2.91639e-11	113.36	1.97155e+06
NODE_123	3.70054e-06	1.87656e-12	7.2974	1.97198e+06
NODE_124	0.00189643	9.73514e-10	3694.28	1.94802e+06
NODE_125	0.00267619	1.37564e-09	5206.31	1.94542e+06
NODE_126	0.00131549	6.72891e-10	2571.75	1.95498e+06
NODE_127	0.000591593	3.01121e-10	1162.26	1.96463e+06
NODE_128	0.00116133	5.9645e-10	2261.2	1.94707e+06
NODE_129	0.000698943	3.56349e-10	1370.91	1.9614e+06
NODE_130	0.0004874	2.47999e-10	957.905	1.96533e+06
NODE_131	0.00347897	1.83292e-09	6603.25	1.89805e+06
NODE_132	0.00102578	5.25151e-10	2003.68	1.95331e+06
NODE_133	0.000732447	3.81831e-10	1405.02	1.91825e+06
NODE_134	0.000480246	2.47456e-10	932.032	1.94074e+06
NODE_135	0.00160352	8.2476e-10	3117.6	1.94423e+06
NODE_136	0.00121515	6.26363e-10	2357.39	1.94e+06
NODE_137	0.000162673	8.29182e-11	319.14	1.96185e+06
NODE_138	5.30698e-07	2.69117e-13	1.04654	1.972e+06
NODE_139	9.03588e-06	4.5817e-12	17.8203	1.97217e+06
NODE_140	5.07118e-07	2.57155e-13	1.00005	1.97203e+06
NODE_141	3.27496e-05	1.66105e-11	64.5695	1.97162e+06
NODE_142	6.02251e-07	3.05368e-13	1.18777	1.97222e+06
NODE_143	6.97531e-05	3.53688e-11	137.564	1.97216e+06
NODE_144	2.24904e-06	1.1409e-12	4.43349	1.97128e+06
NODE_145	2.66556e-06	1.35162e-12	5.25684	1.97213e+06
NODE_146	1.0076e-06	5.1103e-13	1.98669	1.9717e+06
NODE_147	1.60622e-06	8.14554e-13	3.16731	1.9719e+06
NODE_148	1.1029e-06	5.5931e-13	2.17481	1.9719e+06
NODE_149	1.54126e-06	7.81539e-13	3.03948	1.97208e+06
NODE_150	1.03549e-06	5.25056e-13	2.04212	1.97214e+06
NODE_151	1.8679e-06	9.47465e-13	3.68249	1.97147e+06
NODE_152	3.11621e-05	1.58002e-11	61.4597	1.97226e+06
NODE_153	3.05863e-05	1.55081e-11	60.3251	1.97229e+06
NODE_154	0.000474118	2.41954e-10	929.05	1.95954e+06
NODE_155	1.98369e-06	1.00577e-12	3.91245	1.97231e+06
NODE_156	4.36829e-05	2.21627e-11	86.0994	1.97101e+06
NODE_157	0.00151137	7.78415e-10	2934.47	1.9416e+06
NODE_158	0.00191282	9.89613e-10	3697.28	1.9329e+06
NODE_159	0.000136062	6.89959e-11	268.32	1.97204e+06
NODE_160	0.00159006	8.1762e-10	3092.26	1.94474e+06
NODE_161	0.00137273	7.04737e-10	2673.88	1.94786e+06
NODE_162	0.00147287	7.58222e-10	2861.1	1.94253e+06
NODE_163	3.91288e-05	1.98442e-11	77.1545	1.97181e+06
NODE_164	0.00130187	6.70561e-10	2527.53	1.94146e+06
NODE_165	0.00136028	6.99912e-10	2643.71	1.9435e+06
NODE_166	0.000683185	3.51122e-10	1329.29	1.94572e+06
NODE_167	0.000388172	1.97663e-10	762.296	1.96381e+06
NODE_168	0.00166174	8.56413e-10	3224.37	1.94035e+06
NODE_169	0.00068161	3.47821e-10	1335.72	1.95966e+06
NODE_170	0.000448009	2.28177e-10	879.633	1.96343e+06
NODE_171	0.000173146	8.80292e-11	340.564	1.96692e+06
NODE_172	0.000365149	1.85917e-10	717.169	1.96405e+06
NODE_173	0.000633061	3.22999e-10	1240.77	1.95995e+06
NODE_174	0.000202247	1.02819e-10	397.823	1.96702e+06
NODE_175	0.000153639	7.80299e-11	302.511	1.96897e+06
NODE_176	0.000255736	1.29979e-10	503.168	1.96753e+06
NODE_177	0.00014697	7.4731e-11	289.039	1.96665e+06
NODE_178	2.33718e-05	1.18515e-11	46.0906	1.97206e+06
NODE_179	0.00102946	5.37534e-10	1971.59	1.91516e+06
NODE_180	0.000470071	2.39469e-10	922.739	1.96298e+06
NODE_181	0.00143216	7.36988e-10	2783.04	1.94325e+06
NODE_182	0.000116698	5.93201e-11	229.575	1.96726e+06
NODE_183	0.00018788	9.54777e-11	369.707	1.96779e+06
NODE_184	3.54063e-05	1.79578e-11	69.8084	1.97164e+06
NODE_185	5.96833e-05	3.02711e-11	117.673	1.97163e+06
NODE_186	1.97014e-06	9.99236e-13	3.88442	1.97165e+06
NODE_187	1.80362e-05	9.14487e-12	35.5725	1.97228e+06
NODE_188	1.9543e-05	9.90849e-12	38.5455	1.97234e+06
NODE_189	3.57011e-05	1.8101e-11	70.4144	1.97233e+06
NODE_190	1.50788e-06	7.64525e-13	2.97399	1.9723e+06
NODE_191	5.07027e-07	2.57075e-13	1.00001	1.97229e+06
NODE_192	5.07125e-07	2.57166e-13	1.00004	1.97197e+06
NODE_193	6.50251e-06	3.29678e-12	12.8255	1.97238e+06
NODE_194	3.74609e-05	1.89964e-11	73.8732	1.97201e+06
NODE_195	3.00589e-06	1.52399e-12	5.92879	1.97239e+06
NODE_197	5.36722e-07	2.72224e-13	1.05821	1.97162e+06
